序号,物料号,仓库代号,盒子大小,数量,用途,仓库位置,总装地址,备注
1,13799794,34068,G,1000,NORMAL,C-43-C-2,手工台-13-A03,
2,13799794,34069,G,1000,URGENT,C-43-C-2,手工台-13-A03,
1,13799803,34072,G,800,NORMAL,G-14-C-1,手工台-13-B03-B04,
2,13799803,34073,G,800,URGENT,G-14-C-1,手工台-13-B03-B04,
1,13799836,34086,H,500,NORMAL,G-24-B-2,物料架-14-B01,
2,13799836,34087,H,500,URGENT,G-24-B-2,物料架-14-B01,
1,33329644,34110,标包,250,NORMAL,A-41-D-1,外购件架-03-G04,
2,33329644,34111,标包,250,URGENT,A-41-D-1,外购件架-03-G04,
1,13799813,38940,G,500,NORMAL,G-27-B-1,手工台-13-A05,
2,13799813,38941,G,500,URGENT,G-27-B-1,手工台-13-A05,
1,13799843,38944,C,1000,NORMAL,G-36-C-3,TH80-OLE1-08-A03-A04,
2,13799843,38945,C,1000,URGENT,G-36-C-3,TH80-OLE1-08-A03-A04,
1,35866379,40055,标包,15,NORMAL,I-23-B-1,物料架-14-F01-F03,
2,35866379,40056,标包,15,URGENT,I-23-B-1,物料架-14-F01-F03,
1,33221314,41775,H,250,NORMAL,G-14-C-4,胶带机-12-A05~A06,
2,33221314,41776,H,250,URGENT,G-14-C-4,胶带机-12-A05~A06,
1,13742565,43061,G,3000,NORMAL,G-37-C-2,TH80-OLE1-08-A01-A02,
2,13742565,43062,G,3000,URGENT,G-37-C-2,TH80-OLE1-08-A01-A02,
1,35259396,48555,G,2700,NORMAL,G-13-B-4,物料架-02-F05,
2,35259396,48556,G,2700,URGENT,G-13-B-4,物料架-02-F05,
1,35327569,50379,标包,200,NORMAL,A-41-D-4,外购件架-03-G06,
2,35327569,50380,标包,200,URGENT,A-41-D-4,外购件架-03-G06,
1,35323104,50383,标包,150,NORMAL,A-38-C-3,外购件架-03-A02-A03,
2,35323104,50384,标包,150,URGENT,A-38-C-3,外购件架-03-A02-A03,
1,13799834,51565,H,500,NORMAL,I-34-B-6,物料架-14-C03,
2,13799834,51566,H,500,URGENT,I-34-B-6,物料架-14-C03,
1,13799856,51601,H,1400,NORMAL,G-13-B-5,物料架-05-A02,
2,13799856,51602,H,1400,URGENT,G-13-B-5,物料架-05-A02,
1,10751622,53899,G,440,NORMAL,G-38-C-6,物料架-02-F01,
1,13671785,53907,标包,1080,NORMAL,E-35-D-4,物料架右-08-A02,
2,13671785,53908,标包,1080,URGENT,E-35-D-4,物料架右-08-A02,
2,10751622,55305,G,440,URGENT,G-38-C-6,物料架-02-F01,
1,12186005,56707,标包,5000,NORMAL,C-25-C-3,盲栓台-01-A05,
2,12186005,56708,标包,5000,URGENT,C-25-C-3,盲栓台-01-A05,
1,13799815,56859,G,500,NORMAL,G-28-B-4,手工台-13-A01,
2,13799815,56860,G,500,URGENT,G-28-B-4,手工台-13-A01,
1,35344127,59295,D,600,NORMAL,J-35-B-4,手工台-14-A02,
2,35344127,59296,D,600,URGENT,J-35-B-4,手工台-14-A02,
1,35524191,59347,H,2000,NORMAL,F-37-C-1,物料架-05-C01,
2,35524191,59348,H,2000,URGENT,F-37-C-1,物料架-05-C01,
1,35323103,59363,标包,150,NORMAL,A-38-C-1,外购件架-03-B03,
2,35323103,59364,标包,150,URGENT,A-38-C-1,外购件架-03-B03,
1,35414167,61825,C,200,NORMAL,J-30-B-5,物料架-02-D04,
2,35414167,61826,C,200,URGENT,J-30-B-5,物料架-02-D04,
1,35489308,61839,C,200,NORMAL,J-31-B-7,物料架-02-C05,
2,35489308,61840,C,200,URGENT,J-31-B-7,物料架-02-C05,
1,35269533,61951,标包,300,NORMAL,C-5-D-5,外购件架-02-A03,
2,35269533,61952,标包,300,URGENT,C-5-D-5,外购件架-02-A03,
1,35269534,61953,标包,400,NORMAL,C-6-D-6,外购件架-01-C01,
2,35269534,61954,标包,400,URGENT,C-6-D-6,外购件架-01-C01,
1,35269540,61961,标包,300,NORMAL,A-40-C-5,外购件架-02-F01,
2,35269540,61962,标包,300,URGENT,A-40-C-5,外购件架-02-F01,
1,36006252,61963,标包,150,NORMAL,A-42-C-2,外购件架-04-F01,
2,36006252,61964,标包,150,URGENT,A-42-C-2,外购件架-04-F01,
1,36006253,61965,标包,150,NORMAL,A-43-C-5,外购件架-04-B02,
2,36006253,61966,标包,150,URGENT,A-43-C-5,外购件架-04-B02,
1,36006259,61967,标包,200,NORMAL,J-21-C-1,外购件架-04-B02,
2,36006259,61968,标包,200,URGENT,J-21-C-1,外购件架-04-B02,
